,会社情報,採用情報概要,雇用形態,仕事内容,対象となる方,勤務地,給与
117,王子アドバ株式会社 | 【創業140年の王子グループ】年休120日/グループ準拠の働き易さ,脱プラに貢献！あのブランドの紙袋も！【企画提案ルート営業】 正社員,正社員,【あの有名店・人気店の袋にもアイデア発揮！】◆ブランドショップ・百貨店等のショッピング袋等の企画営業です★大手のお客様ともコツコツと信頼構築,【未経験歓迎／人物重視】◆大卒以上◆35歳以下の方★仕事に対するやる気がある方・コツコツ真面目に取り組める方であれば、スキル・知識は不問です！,＊--アクセス抜群！『銀座駅』徒歩5分の好立地--＊ 【営業本部】 東京都中央区銀座5-12-8…,"月給:235,000円以上（一律販売手当含む）+ 賞与年2回 ※経験・能力を考慮の上、当社規定により優遇しま…"
118,株式会社H・O・C,既存顧客や新規への【オフィス・WEBコンサルティング営業】 正社員,正社員,過去にお取引いただいたお客様への再訪問(ルート営業)による古いOA機器の入れ替え提案やHP作成等のご提案やご新規様への導入提案など。,営業未経験の方、正社員として働くのがはじめてという方、異業種からの転職希望者などみなさん大歓迎です。もちろん営業経験者も大歓迎。,希望勤務地をお選びください。 ※転勤不可・転勤可能の選択が出来ます。 【札幌本部】 札幌市中央区北…,"月給24万円〜＋職級手当5,000〜20,000円＋インセンティブ ※経験に応じてスタート給与を決定致します。 (…"
119,学校法人医学アカデミー | 薬剤師国家試験予備校『薬学ゼミナール』を運営。,【社内SE(システム開発・品質管理)】◆年間休日120日(土日休み) 正社員,正社員,校内SEとして職員向け、または学生向け「システムの企画・開発・運用」をお任せします。,◎何かしらの開発経験を3年以上お持ちの方　※相手に寄り添った行動やコミュニケーションを大切にできる方歓迎！ ※必須,【東京事務所】 東京都千代田区神田錦町3-18-3　錦三ビル5階 ＜アクセス＞ ■半蔵門線「神保町…,■年俸制：350万円〜550万円 ※経験・スキルを考慮し、優遇します。 ※試用期間3ヶ月（期間中の給与・待…
120,高田機工株式会社 | ★WEB面接可能★創業100年間近の東証一部上場企業／福利厚生充実,東証一部上場で経験活かす【鋼橋の架設・床版・補修の施工管理】 正社員,正社員,《基本作業なし！現場工事から卒業しませんか？》2～5名のチーム体制で鋼橋の架設・床版、補修工事といった施工を管理する仕事です★年間休日120日,《20・30代入社実績多数》◆1級土木施工管理技士をお持ちの方 ◆土木・建築系の学科卒の方 ◆要普免(AT可),【全国各地の鋼橋施工現場へ赴任】 ※現場赴任先は面談を実施のうえ、希望を考慮して決定しています。…,◆月給22万円〜50万円＋諸手当＋賞与年2回 ※年齢・経験・能力を考慮して決定いたします ※試用期間6ヶ月…
121,株式会社ETSホールディングス | ※JASDAQ上場／創業98年！,電気設備工事の【施工管理】経験者・有資格者優遇◎ 正社員,正社員,社会インフラ・電気の更なる安定供給を目指し電気工事の施工管理業務をお任せします。,【学歴不問】電気工事施工管理技士又は電気工事士の資格をお持ちの方,本社 東京都豊島区南池袋1-10-13／各線「池袋駅」より徒歩7分 仙台支社東北送電事業本部 宮城…,"月給30万円〜50万円 ※経験・スキルを考慮し、当社規定により決定します。 ※固定残業代月20時間：40,00…"
122,アイテック株式会社,【秘書兼役員付運転手（ドライバー）】　未経験者歓迎／幹部候補 契約社員,契約社員,◆社用車で役員の送迎を担当してください。安全運転はもちろん秘書的な業務もお任せします。経営者をサポートする、やり甲斐ある仕事です。,【2020年卒も歓迎】◆年齢不問（20代～60代の方が活躍中）◆大卒以上◆要普免・車の運転経験1年以上(ドライバーの経験は問いません),本社（大阪市北区梅田3-3-10 梅田ダイビル） 【交通アクセス】 JR「大阪」駅 桜橋口出口より…,月給　30万円（一律手当て込） ※年齢・経験を考慮いたします ※正社員登用あり ※試用期間は6カ月となり…
123,株式会社フルハウス | 《仙台市内で4店舗運営》☆20～30代活躍中　☆第二新卒歓迎,完全反響型で安心♪未経験者OKの【マイホームアドバイザー】 正社員,正社員,【飛び込みなし、来店型のマイホームアドバイザー】HPや広告を通じて『フルハウス』に来店したお客様のニーズをヒアリング、最適なご案内を行います。,【未経験者大歓迎☆研修充実☆】◎元アパレル店員や元美容部員、元販売店スタッフ…などが活躍中！◎人柄重視、コミュニケーション力のある方は大歓迎,【仙台市内4店舗いずれかの勤務】 ※各店舗マイカー通勤OK ■本店 宮城県仙台市若林区蒲町東10-…,月給：20万円〜 （一律手当含む）＋ インセンティブ ＋ 各種手当 ※経験・能力を考慮のうえ、当社規程に…
124,株式会社日本防犯システム | 完全週休2日制／年間休日125日／土日祝休み／20～30代活躍中！,防犯カメラ×IoT/AI/5Gとセキュリティ製品を提案する【営業】 正社員,正社員,【ノルマ／飛び込みなし】販売代理店に向けたルート営業がメイン★販促企画にもチャレンジ！自社製品の拡販に“アイデア×行動力”を発揮できます！,"【平均年齢27,8歳／第二新卒・業界未経験OK】法人営業の経験がある方(経験が浅くてもOK)◆メーカーの営業職としてキャリアを築きたい！そんな方歓迎",仙台・東京・名古屋・大阪・広島・福岡で同時募集中！★希望を考慮致します。 ■仙台支店 宮城県仙台市…,■月給22万円〜45万円＋賞与年2回 ※試用期間3ヶ月あり。その間の待遇変更はありません。 ※経験・能力を…
125,アイリスオーヤマ株式会社 | 【海外を含めグループ全体が成長中！10年でグループ売上2倍！】,【倉庫出荷スタッフ（出荷業務・物流企画・物流設備）】 正社員,正社員,国内物流拠点における商品の【出荷業務・物流企画・物流設備】いずれかをお任せします。,【物流に関わる業務経験のある方、歓迎！】◎高卒以上 ◎要普免（AT限定可）★物流企画・物流管理などの経験者は優遇！,【U・Iターン歓迎】 北海道・宮城・埼玉・茨城・静岡・滋賀・兵庫・佐賀・大分のいずれか 北海道工場…,月給18万円以上 ※経験・スキルを考慮の上、当社規定により決定します。 ※試用期間：最大6ヶ月（待遇は…
126,太洋テクニカ株式会社,【設備施工管理】未経験者歓迎/中途定着率100%/ポテンシャル重視 正社員,正社員,《景気の影響を受けにくい安定基盤を構築》話題の新・水産市場も当社が担当！◆ビルや公共施設の空調換気・給排水衛生・冷凍冷蔵設備工事の施工管理,【未経験から経験者まで幅広く募集】20～30代が活躍中◆高卒以上◆要普通自動車免許◆福利厚生充実◆U・Iターン歓迎,☆全国で募集します！ ※勤務地は希望を考慮します。 ☆I・Uターン歓迎 【東京本店】 東京都品川区…,未経験者：月給20万円〜25万円 経験者：月給25万〜40万円 ※あなたの経験やスキルを考慮し、優遇します…
127,株式会社ミツウロコヴェッセル東北 | 東証1部上場企業のグループ会社！CMでおなじみのミツウロコ★,ミツウロコグループで働く【配送スタッフ】★年間休日122日 契約社員,契約社員,【 岩手のお客様に灯油を配送 】個人宅から法人企業まで、ご契約いただいているお客様のもとへ配送を行っていただきます ★正社員登用制度あり,【年齢不問】【未経験歓迎】／【必須条件】◆危険物取扱者丙種以上 ◆要普通免許(平成29年3月以降取得は準中型免許),◎盛岡北サービスセンター 岩手県滝沢市穴口282−1 ※転勤なし！ ※マイカー通勤OK,"月給：160,000円〜180,000円 + 歩合 　★月収例230,000円以上可能 ※経験・年齢等を考慮し当社規定によ…"
128,中野建設コンサルタント株式会社 | UIターン歓迎！年休123日/完休2日(土日祝)/手当・福利厚生充実！,20～60代まで幅広い年代が活躍中！【発注者支援業務】未経験OK 正社員,正社員,【土木/電気】官公庁(国土交通省等)における発注者支援…経験やスキルに合わせて<工事監督支援業務/積算技術業務/技術資料作成業務>のいずれかを担当,[土木・電気未経験者]35歳まで/土木・電気・建設業界に興味がある方 [土木・電気経験者]土木施工管理技士/電気工事施工管理技士/電気工事士の有資格者,【UIターン歓迎！希望勤務地を考慮／直行直帰です】宮城県、福島県のいずれか 本社/宮城県仙台市青葉…,"月給213,000円〜450,000円+各種手当+賞与年2回+決算賞与 ※月給にはみなし残業代20時間分／3万円〜を含…"
129,北海道地図株式会社 | ★原則転勤なし ★土日休み ★自社内開発 ★U・Iターン歓迎,【開発エンジニア】★地図システム開発のパイオニア企業で活躍！ 正社員,正社員,3Dモデルを利用した表示システム、GISやスマホ向け地図アプリなど、自社地図関連システムの企画・設計・開発をできる範囲からお任せします。,★何らかのシステム開発経験がある方 ★Unity、Cesium、PHP、Java、Python、JavaScript、PostgreSQL、AI、IoT、XRのいずれかに関するスキル歓迎！,東京都千代田区永田町、仙台市青葉区、札幌市白石区、旭川市での募集です！ ※希望を考慮の上、配属とな…,■東京 月給24万8000円以上（一律地域手当3万円・技術職営業店勤務手当3万円を含む） ※試用期間最大6ヶ…
130,アイリスオーヤマ株式会社 | <10年でグループ売上2倍!> 新規事業立上げによる増員募集！,<静岡>【製造オペレーター】年間休日180日以上！ 正社員,正社員,食品(飲料)の製造オペレーター業務(ペットボトル成型、飲料水を充填、段づみロボットの操作および搬送業務)をお任せします。,【高卒以上/要普免(AT可)/未経験・第二新卒歓迎！】◎食品の製造やメンテナンス業務に興味のある方 ★業種を問わず製造経験のある方は歓迎,【U・Iターン歓迎！マイカー通勤OK】 富士小山工場 静岡県駿東郡小山町桑木221-1,"月給18万円〜21万9,000円 ※給与条件は経験と能力を考慮して決定します。 ※試用期間3ヶ月（待遇の変更…"
131,日本アイ・ビー・エム デジタルサービス株式会社 | 【略称：IJDS／ 日本アイ・ビー・エムグループ 】,【ITエンジニア(テクニカルサービスエンジニア)】仙台限定募集！ 契約社員,契約社員,◆ITインフラの設計・構築、運用・保守、顧客サポートなど◆OJTやe-learning、各種セミナー等を用意◆仕事に慣れたらリモートワークも可能です！,【未経験・第二新卒歓迎】◎PCに対して抵抗がない方★ゼロからIT業界にチャレンジできる環境です！,＜仙台事業所＞ 宮城県仙台市青葉区一番町1-9-1 仙台トラストタワー 14F,"■未経験での入社 月給：27万5,000円〜32万5,000円＋残業手当 ■経験ありでの入社 月給：27万5,000円〜5…"
132,株式会社ワールドアイセリング | 東証一部上場 ワールドホールディングスグループの安定基盤！,【提案営業】★転勤なし・残業月20h・年間休日116日★ 正社員,正社員,<裁量を持って働ける！>あなたの得意分野に合わせて『マンション・戸建物件の売買仲介』または『リノベーション用物件の買取・再販』をお任せします。,《前給保証！》[応募条件]不動産業界の経験がある方 ★宅地建物取引士の有資格者は優遇！ <中途入社のハンデなし>能力に応じて即ポストが付くことも！,【転勤なし／U・Iターン歓迎／青葉通一番町駅より徒歩2分！】 宮城県仙台市青葉区一番町2-4-1…,"月給235,000円〜430,000円＋インセンティブ＋賞与年2回 ★月収例:385,000円〜430,000円/マネージャー(課…"
133,石井ビル管理株式会社 | <未経験歓迎/諸手当・福利厚生が充実/安定した経営基盤が強み!>,20～40代活躍中！【総合職(設備管理/業務管理/警備)】研修充実◎ 正社員,正社員,【設備管理】各施設における設備の監視/運転操作 【業務管理】現場巡回/客先窓口 【警備】施設内の巡回や警備業務,<未経験者歓迎/学歴・性別・経験・年齢不問>★20～40代の若手活躍中 ★育成ノウハウも充実 ★経験者は面接のうえ条件を優遇【手厚い福利厚生が魅力!】,宮城県内、その他 <本社> 宮城県仙台市青葉区国分町三丁目6番1号 ※配属により、勤務地が異なりま…,"月給 212,000円〜 ※一律遠隔地手当含む <地域限定社員> 月給 170,000円〜 ※時間外手当、技術手当、深…"
134,HITOWAライフパートナー株式会社 | CMでお馴染み「おそうじ本舗」のフランチャイズ本部,成長企業の【人事・総務スタッフ】 正社員,正社員,管理部門において、人事業務・総務業務を担当していただきます。,学歴不問、人事制度や人事評価に携わった経験をお持ちの方 ◎基本的なPC操作が可能な方（Word、Excel等）,東京都港区六本木1-4-5 アークヒルズ サウスタワー 19階,月給27万円〜45万6000円 ※固定残業代30時間分(5万円〜9万6000円)を含む。超過分は追加支給します。 ※経…
135,オフィスコム株式会社 | PLUSグループ／自社製品・直販サイトの連携で13期連続売上UP,【営業事務】年休126日◆賞与年2回◆転勤なし！広島限定募集 正社員,正社員,【営業サポート業務全般＊経験不問】発注に関わる一連の業務やお客様対応をお任せします。,【経験・学歴不問／未経験・第二新卒歓迎】■PCのタイピングがスムーズにできる方,◆広島支社 広島県広島市中区小町3-25 三共広島ビル7F,◆月給21万7000円以上 +賞与年2回 ※上記はあくまで未経験者の最低保証額です。経験・能力・年齢などを考…
136,丸喜株式会社齋藤組 | 東京支店 /創業75年/働く人を大切に/東北復興やＣＭで高い地名度,【建築技術職（設計・施工管理）】未経験歓迎☆残業なし 正社員,正社員,木造建築を中心に、戸建住宅のリフォーム、保育園、福祉施設等、設計・施工管理アシスタント業務※経験や希望に合わせます。,★ものづくりが好きな方★建築に興味のある方「未経験者歓迎」何らかの建築現場経験者は優遇します☆※要普通自動車免許,●東京支店 東京都江戸川区東瑞江一丁目1-3　丸喜ビル（自社ビル） 首都圏の現場 ※ほぼ現場へ直行…,月給26万円〜45万円 （未経験者は月給23万円以上） ※経験・能力に合わせて相談の上決定します。 ※試用…
137,株式会社新井組 | 主要4地方整備局で令和元年度 工事成績優秀企業認定(国土交通省),社会インフラを支える【施工管理】★将来の中核を担う人材の募集 正社員,正社員,【国交省の案件多数】◆道路・河川などの新設工事・修繕工事・耐震工事といった土木全般の施工管理業務 ★現場の次席⇒所長への転身を目指せます,【面接1回！即戦力の募集！】◆1級土木施工管理技士の有資格者 ★各役職に応じた研修をご用意&毎年、知識共有のための研修あり,＼全国募集／ ★U・Iターン歓迎 ★希望勤務地は最大限考慮いたします ★社員用の宿舎あり あなたの…,月給：32万円〜50万円 ※あなたの経験やスキルを最大限に考慮します。 ※上記金額には固定残業代（40時…
138,株式会社オープン・システム・ソリューションズ | ★クラウド・AI・SAP案件多数,AIなどの“最先端技術”に携われる【ITエンジニア／ITコンサル】 正社員,正社員,【ITエンジニア・コンサル業務をお任せします】経験・能力に応じ、IT基盤の設計・構築・運用からJava、AIシステム開発、SAPやSalesforceのコンサル等,【経験者大歓迎！】必須：何かしらの開発経験をお持ちの方（目安3年以上） ★多彩なキャリアの道を用意！第二新卒の方も歓迎します◎,【東京・大阪・神奈川・静岡・仙台のいずれかの営業所】 ※希望勤務地は最大限考慮いたします！ 【東京…,月給20万円〜100万円 ※経験、能力を考慮して、決定いたします。 ※試用期間3ヶ月（期間中は、福利厚生施…
139,株式会社片平新日本技研 | 【交通インフラを支えるプロ集団】★充実の研修・資格支援制度有,【土木施工管理】育成社員制度※将来の管理技術者育成／資格不問 契約社員,契約社員,【NEXCO等の発注側として裁量大きく活躍！】高速道路の施工管理をメインにお任せ★下請けを卒業して力を発揮★家族・住宅・資格手当など充実！,建設業や建設コンサルタントの勤務経験を有し、施工管理業務に必要な資格取得の意欲があり、施工管理業務で活躍を目指す方,1年間嘱託社員として、設計・施工管理の基本知識、ＣＡＤ技術の習得をしながら資格取得を目指していただ…,"月給215,000円〜 ※業務経歴、保有資格、能力などを考慮して優遇いたします。 ※試用期間6ヶ月あり（待遇…"
140,荏原実業株式会社 | 【東証一部】年商284億円の安定企業／賞与4.4か月／年休127日,水インフラを支える【施工管理】★未経験からの資格取得支援あり 正社員,正社員,【チーム制なので未経験の方も安心！数年かけてじっくり成長していけます】浄水場・上下水道施設・ポンプ場の設備工事の現場監督をお任せします,【必須条件】機械・電気・建築など工学系の学部・学科出身or施工管理の経験 ★完全週休2日 ★有給取得10日以上 ★賞与2回(4.4ヵ月分),東京、神奈川、埼玉、千葉、茨城、宮城、岩手、愛知、大阪で募集します。 本社／東京都中央区銀座七丁目…,月給23万円以上＋諸手当＋賞与年2回【支給実績4.4ヵ月分】 ※経験・能力・年齢を考慮し決定します。 ※…
141,コスモ石油販売株式会社 | [東北カンパニー]CMでもおなじみ！夜勤なし・残業少なめ・連休OK,地域限定採用！未経験から手に職を◎【SSスタッフ・整備士候補】 正社員,正社員,【色々な方向に成長できるサービス・整備スタッフ】給油・点検・整備…といった、地元のお客様の安全なカーライフを支えるお仕事をおまかせします！,【未経験者大歓迎！】◎要普免　◎学歴・男女・前職不問、社会人デビューの方もぜひご応募ください！《整備士資格や自動車検査員お持ちの方は大歓迎》,＜初任配属エリア確約＞ 宮城県仙台市/仙南/仙北、福島県福島市/相馬市、岩手県奥州市の 各エリアか…,◆月給18万円〜35万円 ＋ 各種手当 ※経験・年齢を考慮の上、当社規定により優遇します ※試用期間：3ヶ…
142,株式会社SEKAI | ＼コロナに負けず拠点拡大中／★渋谷・仙台オフィス新設！,【企画営業】★週休二日(土日)・インセンティブ&表彰制度あり！ 正社員,正社員,企業課題を解決し、よりよいセカイにする提案営業。クライアントの満足と広告としての効果を追求します。【社内クリエイティブチームと挑みます！】,学歴も、経験も、特別な資格も必要ありません。クリエイティブに興味がある方を歓迎します！　★異業種から転職してきた20代・30代が活躍中です！,渋谷オフィス・札幌オフィス・仙台オフィス・大阪オフィス・福岡オフィスよりお選びいただけます。 ★渋…,"【渋谷】月給215,000円〜 【札幌】月給195,000円〜 【仙台】月給195,000円〜 【大阪】月給205,000円〜 【…"
143,株式会社セレクティ | [UIターン歓迎]★入社祝い金最大20万円支給★家賃補助あり★,【ITエンジニア】★月給25万円以上 ★転勤なし ★定着率98％！ 正社員,正社員,【詳細設計～開発など】あなたのスキルに合った様々なプロジェクトに参画できます★残業月平均12.3h★年間休日120日以上★土日・夜間・WEBでの面接可,【第二新卒・キャリアが浅い方・ブランクがある方も歓迎！】WEB系のプロジェクト多数！あなたの「やりたい」案件が見つかる ★UIターン支援制度あり,【転勤なし／UIターン歓迎】※家賃補助あり（規定有） ★盛岡市内・秋田市内でのクライアント先で勤務…,月給：25万円〜40万円 ※経験・スキルを考慮の上決定します ※試用期間3ヶ月（同条件） ※固定残業代（20…
144,弁護士法人 平松剛法律事務所 | 平均年齢30歳／産育休取得実績／家賃補助／資格取得支援,【採用担当スタッフ】※管理部門・総務チーム ※未経験歓迎！ 正社員,正社員,＜OJTにてイチから成長を目指せる環境です！＞ 管理部門の一員として、中途採用業務（各種調整・面接・内定者フォロー等）をメインにお任せします。,＜経験不問！未経験の方も歓迎します＞ ◆高卒以上 ◆社会人経験4年以上（業界・職種不問） ※残業月5～10h／年休127日などメリハリもしっかり！,◎転勤なし ◎銀座駅から徒歩3分の好立地！ 東京事務所 東京都中央区銀座6-2-1 Daiwa銀座…,月給25〜40万円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヵ月あり ※試用期間…
145,タカオ株式会社 | ★1955年創業★導入実績多数（レゴランド名古屋、としまえん等）,“遊びと感動をつくる”遊具メーカーの【企画営業】★未経験歓迎 正社員,正社員,★テレアポ・新規飛び込み有★公園の遊具、 ショッピングモールの室内遊具、 アミューズメントパークの大型遊具など、様々な遊具を企画提案します！,＜未経験・第二新卒歓迎！完全人物・意欲重視の採用です＞◆40歳以下の方◆普通自動車免許(AT可)★約1年間のOJT研修を実施！だから未経験でも大丈夫！,★転勤なし ★東京・新潟・大阪・広島での勤務です ※勤務地は希望を考慮します 東京本社／東京都港区…,【東京】 月給23万6000円〜35万円 ※年齢・経験・能力・前職給与等を考慮し決定します。 ※試用期間6ヶ月…
146,株式会社全日警 | ～業界トップクラスの安定企業で働く！～　【正社員登用あり】,【総合事務スタッフ】◆年間休日125日(土日祝)＆残業月10h程度◆ 契約社員,契約社員,【充実のサポート体制】総務・人事、経理業務全般を担当してもらいます。あなたの経験やスキルに合わせて出来る業務からお任せします。,【未経験OK】◎高卒以上 ◎基本的なPCスキル(Word、Excel) ★簿記の知識、総務、経理の経験をお持ちの方は歓迎！※20～30代の若手男性スタッフ活躍中,【転勤なし／勾当台公園駅より徒歩6分！】 宮城県仙台市青葉区本町3丁目6-18 勾当台イーストビル…,"月給147,840円〜159,600円＋諸手当 ※正社員登用後の月収例(180,000円〜205,000円) ※経験・能力を考慮…"
147,日本債権回収株式会社 | (株)オリエントコーポレーション(一部上場)出資：福利厚生も充実,【総合職(営業・債権管理)】★正社員登用前提！ 契約社員,契約社員,《将来も安心！正社員登用9割超の実績を誇る！》 あなたの希望・適性に応じ、「営業」「債権管理」のいずれかの業務をお任せします。,《残業月平均20h程度など働きやすさも◎》 ◆大卒以上 ◆基本的なPCスキル ※充実の研修＆資格取得支援制度あり！スキルアップを全面サポートします！,★さいたま・名古屋での募集！ └住まいやご希望等を考慮し、決定します！ 今回の募集業務に対応する勤…,◇さいたま：月給23万8千円〜 ◇名古屋：月給22万8千円〜 ※経験・年齢等を考慮の上、当社規定により決…
148,岩崎エアーテック株式会社 | 《設立31年のメーカー営業！》◎転勤なし / 月収100万円も可能！,★40代～60代活躍中★【法人営業】インセンで高収入を目指せる！ 正社員,正社員,【既存顧客中心！】◎ニーズのある工場・病院・保育園・介護施設などに空気清浄機のリース・販売をご提案します。契約に応じてインセンティブも支給！,【経験・年齢不問！40～60代活躍中！】◎普通運転免許(AT限定可) ★主体性を持ち、向上心を持って仕事に向かえる方を歓迎します！,【転勤なし！U・Iターン歓迎】 ■札幌・仙台・新潟・横浜から勤務地をお選びいただけます！ ◎札幌…,"月給：233,000円〜283,000円＋インセンティブ＋各種手当 ※能力・経験を考慮の上、決定いたします。 ※…"
149,GMOインターネット株式会社 | 【東証一部上場】★原則定時退社★完全週休2日制★服装自由,【サポート事務】★年休121日★正社員登用制度あり★仙台限定 契約社員,契約社員,【セールス要素ナシ】カスタマーサポート業務（電話・メール対応など）をお任せいたします★服装自由・ネイル・ピアスOKなので自分らしく働けます◎,【未経験歓迎／20～30代活躍中】◆PCで文字入力ができる方でもOK！◆パート・アルバイトからの転職も歓迎★希望者全員が“正社員登用”を叶えています,＜仙台オフィス＞ 宮城県仙台市青葉区本町1-1-1 大樹生命仙台ビル（アジュール仙台） ※2020…,月給:19.2万円〜＋時間外手当 ※経験・能力等により決定 ※残業代100%支給（原則残業なしの運営を目指し…
150,スマートメディカル株式会社 | <仙台支店>未来に通用するエンジニアへ！／完全週休2日(土日休),【ITエンジニア(サーバ構築/管理)】★資格取得・講習参加支援有 正社員,正社員,【スキルや経験を考慮します☆】ITインフラ運用業務やサーバ構築などのインフラエンジニア業務。,【学歴・年齢不問】ITエンジニアの実務経験がある方 ☆Linux系のサーバ運用業務の経験者は大歓迎！☆,【UIターン希望者も歓迎！／家賃補助あり】 仙台市内での勤務となります。 ※案件に応じた、クライア…,月給25万円〜50万円 ＋ 残業代 ＋ 諸手当 ※経験、年齢を考慮し当社規定により優遇します。
151,株式会社TAXEL会計 | 【未経験者OK】男女とも育休実績あり！働きやすい職場です。,年間休日125日！オンもオフも充実できる【経営コンサルタント】 正社員,正社員,【幅広い業務で企業を支える経営コンサルタント】各種申告業務や巡回監査、経営のアドバイスなどをお任せします。☆未経験安心の研修制度あり,【未経験者歓迎／第二新卒／UIターン希望者も歓迎！】異業種からのチャレンジもOK！＜必須条件＞■要普通免許 ■学歴不問 ■簿記3級以上,【転勤なし／駅から徒歩3分の好立地！】 ■本社 宮城県仙台市青葉区本町2丁目14-27 加金ビル…,"月給：150,000円〜250,000円 ＋ 各種手当 ※経験・能力を考慮のうえ、当社規程により決定いたします。 ※…"
152,大井電気株式会社 | 【JASDAQ上場】福利厚生充実／年休124日／今年度賞与4.6か月支給,経験を活かして活躍！【総務スタッフ】アットホームな雰囲気◎ 正社員,正社員,◆勤怠管理・給与計算・社会保険関連など…総務業務全般をお任せします。　◆入社後は面倒見の良い先輩が当社でのお仕事について教えていきます！,◆応募条件：総務の実務経験5年以上、PCスキル(Excel・ピボットテーブル・Word)　◆意欲のある方歓迎！,【本社】 横浜市港北区菊名7-3-16 ＜アクセス＞ JR・東横線「菊名駅」より徒歩7分 ※総合職…,"■高卒／月給168,000円以上 ■短大卒／月給182,000円以上 ■高専卒／月給190,500円以上 ■大卒／月給215,…"
153,大井電気株式会社 | 【JASDAQ上場】情報通信機器メーカーとして70年の歴史！,自社製品の品質向上に大きく貢献！【品質保証】※残業ほぼなし 正社員,正社員,【未経験からじっくり育成】発電所・駅・空港・プラント施設など、社会インフラに多く導入されている当社の情報通信機器の品質保証業務をお任せします,【職種未経験歓迎！】「化学に関する知識をお持ちの方（実務経験不問）」または「電気設計またはソフトウェア設計の実務経験5年以上の方」,■U・Iターン希望者も大歓迎！　■マイカー通勤OK！ 【水沢製作所】 岩手県奥州市水沢真城折居10…,"■高卒/月給168,000円以上 ■短大卒/月給182,000円以上 ■高専卒/月給190,500円以上 ■大卒/月給215,500…"
154,大井電気株式会社 | 【JASDAQ上場】社員寮や資格取得支援有／完全週休2日制(土日祝),★未経験歓迎【製造スタッフ】創業70年の老舗メーカーで活躍！ 正社員,正社員,【未経験からじっくり育成】発電所・鉄道・空港などに導入される情報通信機器の組立・検査をお任せします★資格取得も手厚く支援！★年間休日124日,【未経験歓迎！意欲重視の採用！】◆高卒以上◆社会人経験◆基本的なPCスキル★一生モノの技術・資格をイチから取得できます！◎U・Iターン歓迎！,★U・Iターン希望者も大歓迎！ ★マイカー通勤OK ■水沢製作所 岩手県奥州市水沢区真城折居106…,"■高卒／月給168,000円以上 ■短大卒／月給182,000円以上 ■高専卒／月給190,500円以上 ■大卒／月給215,…"
155,株式会社日本エコライフ | 長野支店,ノルマなし・飛込なし！【新プロジェクト0円太陽光の営業】 正社員,正社員,電気料金即削減で10年後には無償で譲渡するサービス「0円太陽光プロジェクト」プロジェクトを広めていただくお仕事,業界未経験者や異業種からの転職も大歓迎！【年齢不問】20代～50代のスタッフが多数活躍中！,長野県長野市南千歳1-15-3 TSビル 7階,月給21万円＋歩合・手当 ★試用期間2ヶ月間月給18万円+各種手当 　月収28万円以上可能。 ★月収80万円以…
156,株式会社リライアブル | 未経験者歓迎！／マイカー通勤OK／おしゃれなオフィスで働く♪,【営業アシスタント】★女性活躍中★ 残業は月10h程度／転勤なし 正社員,正社員,営業さんのサポート業務を中心に、物件の写真撮影、情報サイトへのデータ入力、来客・電話対応などをお任せします。知識は入社後に覚えてもらえばOK◎,【未経験者・第二新卒歓迎！】◎30歳以下* ◎要普免(AT限定可) ◎この仕事に興味がある方 ◎人と話をすることが好きな方 <年2回8～10連休あり♪>,【転勤なし／マイカー通勤OK】 宮城県仙台市青葉区広瀬町4-27-2 ※社員全員がマイカー通勤です…,月給20万円〜(一律手当含む) ※あなたの経験・能力を考慮し、優遇させていただきます。 ※試用期間3ヶ月…
157,大井電気株式会社 | 【JASDAQ上場】情報通信機器メーカーとして70年の歴史！,【社内SE】年休120日以上 / 残業月平均10h ※将来の幹部候補 正社員,正社員,《100％自社内開発×上流工程》JASDAQ上場企業の社内SEとして、基幹システムの企画・設計などをお任せします。※残業月平均10hの働きやすい環境,■大卒以上 ■情報システムの企画・構築経験をお持ちの方 ※通信機器・エレクトロニクスメーカーで情報システム構築に携わった経験のある方を歓迎！,■U・Iターン希望者も大歓迎！ 【本社】 横浜市港北区菊名7-3-16 【水沢製作所】 岩手県奥州…,"■大卒／月給215,500円以上 ■院卒／月給239,500円以上 ※上記は新卒入社の初任給です。 　年齢、経験、…"
158,株式会社ウェブ | ＜日本全国に22拠点を展開する安定基盤＞★週休2日★残業ゼロ,【結婚アドバイザー】お客様の幸せをサポート☆女性活躍中☆ 正社員,正社員,【ムリな勧誘はありません】アポイントをいただいたお客様を訪問し、婚活の無料相談を行いアドバイスをするお仕事です。女性メンバーが活躍中です♪,【年齢・経験不問、未経験歓迎】＊普通自動車運転免許(AT限定可)※自家用車の持ち込み可＊9割以上の社員が未経験からスタート ＊30代～50代活躍中,【仙台支店】 宮城県仙台市青葉区本町2-1-8 第一広瀬ビル 5F アクセス：地下鉄広瀬通駅より徒…,月給17万円以上＋各種手当＋報奨金 ※勤務地による ※経験・能力を考慮して決定します。 ※試用期間6ヵ月…
